studentId,courseId,batchId,pplanId
20S03002,3,,135
20S03003,3,,135
20S03004,3,,135
20S03005,3,,135
20S03006,3,,135
20S03007,3,,135
20S03008,3,,135
20S03009,3,,135
20S03010,3,,135
20S03011,3,,135
20S03012,3,,135
20S03013,3,,135
20S03014,3,,135
20S03015,3,,135
20S03016,3,,135
20s03017,3,,135
20S03018,3,,135
20S03019,3,,135
20S03020,3,,135
20S03021,3,,135
20S03022,3,,135
20S03023,3,,135
20S03024,3,,135
20S03025,3,,135
20S03026,3,,135
20S03027,3,,135
20S03028,3,,135
20S03029,3,,135
20S03033,3,,135
20S03034,3,,135
20S03035,3,,135
20S03036,3,,135
20S03037,3,,135
20S03038,3,,135
20S03039,3,,135
20S03040,3,,135
20S03041,3,,135
20S03042,3,,135
20S03043,3,,135
20S03044,3,,135
20S03045,3,,135
20S03046,3,,135
20S03047,3,,135
20S03048,3,,135
20S03049,3,,135
20S03051,3,,135
20S03052,3,,135
20S03053,3,,135
20s03054,3,,135
20S03055,3,,135
20S03056,3,,135
20s03057,3,,135
20S03058,3,,135
20S03059,3,,135
20s03060,3,,135
20S03061,3,,135
20s03062,3,,135
20S03063,3,,135
20S03064,3,,135
20S03065,3,,135
20S03066,3,,135
20S03067,3,,135
20S03068,3,,135
20S03069,3,,135
20S03070,3,,135
20S03071,3,,135
20S03072,3,,135
20S03073,3,,135
20S03074,3,,135
20S03075,3,,135
20S03076,3,,135
20S03077,3,,135
20S03078,3,,135
20S03079,3,,135
20s03080,3,,135
20S03081,3,,135
20S03082,3,,135
20S03083,3,,135
20S03084,3,,135
20S03085,3,,135
20S03086,3,,135
20S03087,3,,135
20S03088,3,,135
20S03089,3,,135
20S03090,3,,135
20S03091,3,,135
20s03092,3,,135
20s03093,3,,135
20S03094,3,,135
20S03095,3,,135
20S03096,3,,135
20S03097,3,,135
20S03098,3,,135
20S03099,3,,135
20S03100,3,,135
20S03101,3,,135
20S03102,3,,135
20S03103,3,,135
20S03104,3,,135
20S03105,3,,135
20S03106,3,,135
20s03107,3,,135
20s03108,3,,135
20S03109,3,,135
20s03110,3,,135
20S03111,3,,135
20S03112,3,,135
20S03113,3,,135
20S03114,3,,135
20S03115,3,,135
20S03116,3,,135
20S03117,3,,135
20S03118,3,,135
20S03119,3,,135
20S03120,3,,135
20S03121,3,,135
20S03122,3,,135
20S03123,3,,135
20S03124,3,,135
20S03125,3,,135
20S03126,3,,135
20S03127,3,,135
20S03128,3,,135
20S03129,3,,135
20S03130,3,,135
20s03131,3,,135
20S03132,3,,135
20s03133,3,,135
20S03134,3,,135
20S03135,3,,135
20S03136,3,,135
20S03137,3,,135
20s03138,3,,135
20s03139,3,,135
20s03140,3,,135
20S03141,3,,135
20S03142,3,,135
20S03143,3,,135
20S03144,3,,135
20S03146,3,,135
20S03147,3,,135
20S03148,3,,135
20S03149,3,,135
20s05109,3,,135
